position,value
-681.07035,0.000099
-674.93458,0.000085
-668.79881,0.000060
-662.66305,0.000032
-656.52728,0.000010
-650.39151,0.000000
-644.25574,0.000008
-638.11997,0.000032
-631.98420,0.000067
-625.84843,0.000104
-619.71266,0.000132
-613.57689,0.000144
-607.44112,0.000134
-601.30536,0.000106
-595.16959,0.000067
-589.03382,0.000029
-582.89805,0.000005
-576.76228,0.000002
-570.62651,0.000026
-564.49074,0.000071
-558.35497,0.000127
-552.21920,0.000179
-546.08344,0.000213
-539.94767,0.000220
-533.81190,0.000195
-527.67613,0.000147
-521.54036,0.000087
-515.40459,0.000034
-509.26882,0.000004
-503.13305,0.000005
-496.99728,0.000042
-490.86151,0.000101
-484.72575,0.000168
-478.58998,0.000223
-472.45421,0.000247
-466.31844,0.000233
-460.18267,0.000183
-454.04690,0.000114
-447.91113,0.000046
-441.77536,0.000004
-435.63959,0.000010
-429.50383,0.000066
-423.36806,0.000166
-417.23229,0.000287
-411.09652,0.000397
-404.96075,0.000465
-398.82498,0.000469
-392.68921,0.000407
-386.55344,0.000292
-380.41767,0.000158
-374.28191,0.000049
-368.14614,0.000000
-362.01037,0.000041
-355.87460,0.000167
-349.73883,0.000357
-343.60306,0.000559
-337.46729,0.000719
-331.33152,0.000791
-325.19575,0.000743
-319.05998,0.000589
-312.92422,0.000368
-306.78845,0.000151
-300.65268,0.000018
-294.51691,0.000027
-288.38114,0.000215
-282.24537,0.000550
-276.10960,0.000971
-269.97383,0.001369
-263.83806,0.001632
-257.70230,0.001682
-251.56653,0.001476
-245.43076,0.001076
-239.29499,0.000584
-233.15922,0.000169
-227.02345,0.000005
-220.88768,0.000201
-214.75191,0.000811
-208.61614,0.001728
-202.48037,0.002779
-196.34461,0.003688
-190.20884,0.004185
-184.07307,0.004104
-177.93730,0.003379
-171.80153,0.002222
-165.66576,0.000961
-159.52999,0.000112
-153.39422,0.000189
-147.25845,0.001525
-141.12269,0.004275
-134.98692,0.008068
-128.85115,0.012296
-122.71538,0.015929
-116.57961,0.017904
-110.44384,0.017448
-104.30807,0.014166
-98.17230,0.008882
-92.03653,0.003128
-85.90077,0.000032
-79.76500,0.003317
-73.62923,0.017504
-67.49346,0.047045
-61.35769,0.095336
-55.22192,0.164768
-49.08615,0.254778
-42.95038,0.363164
-36.81461,0.484145
-30.67884,0.610493
-24.54308,0.732779
-18.40731,0.841198
-12.27154,0.926640
-6.13577,0.981064
0.00000,1.000000
6.13577,0.981064
12.27154,0.926640
18.40731,0.841198
24.54308,0.732779
30.67884,0.610493
36.81461,0.484145
42.95038,0.363164
49.08615,0.254778
55.22192,0.164768
61.35769,0.095336
67.49346,0.047045
73.62923,0.017504
79.76500,0.003317
85.90077,0.000032
92.03653,0.003128
98.17230,0.008882
104.30807,0.014166
110.44384,0.017448
116.57961,0.017904
122.71538,0.015929
128.85115,0.012296
134.98692,0.008068
141.12269,0.004275
147.25845,0.001525
153.39422,0.000189
159.52999,0.000112
165.66576,0.000961
171.80153,0.002222
177.93730,0.003379
184.07307,0.004104
190.20884,0.004185
196.34461,0.003688
202.48037,0.002779
208.61614,0.001728
214.75191,0.000811
220.88768,0.000201
227.02345,0.000005
233.15922,0.000169
239.29499,0.000584
245.43076,0.001076
251.56653,0.001476
257.70230,0.001682
263.83806,0.001632
269.97383,0.001369
276.10960,0.000971
282.24537,0.000550
288.38114,0.000215
294.51691,0.000027
300.65268,0.000018
306.78845,0.000151
312.92422,0.000368
319.05998,0.000589
325.19575,0.000743
331.33152,0.000791
337.46729,0.000719
343.60306,0.000559
349.73883,0.000357
355.87460,0.000167
362.01037,0.000041
368.14614,0.000000
374.28191,0.000049
380.41767,0.000158
386.55344,0.000292
392.68921,0.000407
398.82498,0.000469
404.96075,0.000465
411.09652,0.000397
417.23229,0.000287
423.36806,0.000166
429.50383,0.000066
435.63959,0.000010
441.77536,0.000004
447.91113,0.000046
454.04690,0.000114
460.18267,0.000183
466.31844,0.000233
472.45421,0.000247
478.58998,0.000223
484.72575,0.000168
490.86151,0.000101
496.99728,0.000042
503.13305,0.000005
509.26882,0.000004
515.40459,0.000034
521.54036,0.000087
527.67613,0.000147
533.81190,0.000195
539.94767,0.000220
546.08344,0.000213
552.21920,0.000179
558.35497,0.000127
564.49074,0.000071
570.62651,0.000026
576.76228,0.000002
582.89805,0.000005
589.03382,0.000029
595.16959,0.000067
601.30536,0.000106
607.44112,0.000134
613.57689,0.000144
619.71266,0.000132
625.84843,0.000104
631.98420,0.000067
638.11997,0.000032
644.25574,0.000008
650.39151,0.000000
656.52728,0.000010
662.66305,0.000032
668.79881,0.000060
674.93458,0.000085
681.07035,0.000099
687.20612,0.000099
693.34189,0.000084
699.47766,0.000061
705.61343,0.000034
711.74920,0.000013
717.88497,0.000001
724.02073,0.000002
730.15650,0.000014
736.29227,0.000032
742.42804,0.000051
748.56381,0.000065
754.69958,0.000069
760.83535,0.000063
766.97112,0.000048
773.10689,0.000030
779.24265,0.000013
785.37842,0.000002
791.51419,0.000001
797.64996,0.000008
803.78573,0.000023
809.92150,0.000039
816.05727,0.000053
822.19304,0.000060
828.32881,0.000058
834.46458,0.000048
840.60034,0.000033
846.73611,0.000018
852.87188,0.000006
859.00765,0.000000
865.14342,0.000003
871.27919,0.000013
877.41496,0.000027
883.55073,0.000041
889.68650,0.000052
895.82226,0.000056
901.95803,0.000052
908.09380,0.000042
914.22957,0.000029
920.36534,0.000015
926.50111,0.000005
932.63688,0.000000
938.77265,0.000002
944.90842,0.000008
951.04419,0.000016
957.17995,0.000024
963.31572,0.000029
969.45149,0.000030
975.58726,0.000026
981.72303,0.000019
987.85880,0.000010
993.99457,0.000004
1000.13034,0.000000
1006.26611,0.000001
1012.40187,0.000006
1018.53764,0.000013
1024.67341,0.000021
1030.80918,0.000026
1036.94495,0.000029
1043.08072,0.000027
1049.21649,0.000022
1055.35226,0.000015
1061.48803,0.000008
1067.62379,0.000003
1073.75956,0.000000
1079.89533,0.000001
1086.03110,0.000003
1092.16687,0.000007
1098.30264,0.000011
1104.43841,0.000013
1110.57418,0.000012
1116.70995,0.000010
1122.84572,0.000007
1128.98148,0.000003
1135.11725,0.000001
1141.25302,0.000000
1147.38879,0.000002
1153.52456,0.000005
1159.66033,0.000008
1165.79610,0.000011
1171.93187,0.000012
1178.06764,0.000012
1184.20340,0.000009
1190.33917,0.000006
1196.47494,0.000002
1202.61071,0.000000
1208.74648,0.000000
1214.88225,0.000002
1221.01802,0.000006
1227.15379,0.000011
1233.28956,0.000015
1239.42533,0.000017
1245.56109,0.000017
1251.69686,0.000015
1257.83263,0.000011
1263.96840,0.000007
1270.10417,0.000003
1276.23994,0.000000
1282.37571,0.000000
1288.51148,0.000002
1294.64725,0.000005
1300.78301,0.000008
1306.91878,0.000010
1313.05455,0.000011
1319.19032,0.000010
1325.32609,0.000007
1331.46186,0.000004
1337.59763,0.000001
1343.73340,0.000000
1349.86917,0.000001
1356.00493,0.000004
1362.14070,0.000008
1368.27647,0.000013
1374.41224,0.000017
1380.54801,0.000019
1386.68378,0.000019
1392.81955,0.000016
1398.95532,0.000012
1405.09109,0.000008
1411.22686,0.000003
1417.36262,0.000001
1423.49839,0.000000
1429.63416,0.000001
1435.76993,0.000004
1441.90570,0.000007
1448.04147,0.000010
1454.17724,0.000011
1460.31301,0.000011
1466.44878,0.000009
1472.58454,0.000006
1478.72031,0.000003
1484.85608,0.000001
1490.99185,0.000000
1497.12762,0.000001
1503.26339,0.000004
1509.39916,0.000007
1515.53493,0.000009
1521.67070,0.000011
1527.80647,0.000011
1533.94223,0.000009
1540.07800,0.000007
1546.21377,0.000004
1552.34954,0.000001
1558.48531,0.000000
1564.62108,0.000000
1570.75685,0.000002
1576.89262,0.000005
1583.02839,0.000007
1589.16415,0.000009
1595.29992,0.000010
1601.43569,0.000009
1607.57146,0.000008
1613.70723,0.000005
1619.84300,0.000003
1625.97877,0.000001
1632.11454,0.000000
1638.25031,0.000000
1644.38607,0.000002
1650.52184,0.000003
1656.65761,0.000005
1662.79338,0.000005
1668.92915,0.000005
1675.06492,0.000003
1681.20069,0.000002
1687.33646,0.000000
1693.47223,0.000000
1699.60800,0.000001
1705.74376,0.000004
1711.87953,0.000008
1718.01530,0.000013
1724.15107,0.000017
1730.28684,0.000019
1736.42261,0.000020
1742.55838,0.000019
1748.69415,0.000016
1754.82992,0.000011
1760.96568,0.000007
1767.10145,0.000003
1773.23722,0.000001
1779.37299,0.000000
1785.50876,0.000001
1791.64453,0.000003
1797.78030,0.000005
1803.91607,0.000006
1810.05184,0.000007
1816.18761,0.000007
1822.32337,0.000006
1828.45914,0.000004
1834.59491,0.000002
1840.73068,0.000001
1846.86645,0.000000
1853.00222,0.000000
1859.13799,0.000000
1865.27376,0.000001
1871.40953,0.000001
1877.54529,0.000001
1883.68106,0.000001
1889.81683,0.000000
1895.95260,0.000000
1902.08837,0.000000
1908.22414,0.000001
1914.35991,0.000003
1920.49568,0.000005
1926.63145,0.000008
1932.76721,0.000010
1938.90298,0.000012
1945.03875,0.000012
1951.17452,0.000011
1957.31029,0.000008
1963.44606,0.000005
1969.58183,0.000003
1975.71760,0.000001
1981.85337,0.000000
1987.98914,0.000001
1994.12490,0.000002
2000.26067,0.000005
2006.39644,0.000007
2012.53221,0.000008
2018.66798,0.000008
2024.80375,0.000007
2030.93952,0.000005
2037.07529,0.000003
2043.21106,0.000001
2049.34682,0.000000
2055.48259,0.000000
2061.61836,0.000002
2067.75413,0.000004
2073.88990,0.000006
2080.02567,0.000008
2086.16144,0.000009
2092.29721,0.000009
2098.43298,0.000008
2104.56874,0.000006
2110.70451,0.000003
2116.84028,0.000001
