clusterID,DV,AP_dist,power,effects,area
65,-1234.28625740229,2,2,0.469894035092974,m2_1
65,-1234.28625740229,3,2,1.26460790506703,m2_1
65,-1234.28625740229,0,4,0.11067427300703,m2_1
65,-1234.28625740229,1,4,0.506906548088208,m2_1
65,-1234.28625740229,2,4,0.986769974937425,m2_1
65,-1234.28625740229,3,4,1.1437234072093,m2_1
67,-1234.28625740229,0,2,0.595923704702516,m2_1
67,-1234.28625740229,1,2,0.759905509600411,m2_1
67,-1234.28625740229,2,2,0.820027654988596,m2_1
67,-1234.28625740229,3,2,0.930674170114278,m2_1
67,-1234.28625740229,0,4,0.765523124560586,m2_1
67,-1234.28625740229,1,4,0.837148011108175,m2_1
67,-1234.28625740229,2,4,0.92909250788993,m2_1
67,-1234.28625740229,3,4,1.16317918116132,m2_1
71,-1192.00008946692,0,2,0.552485706519314,m2_1
71,-1192.00008946692,1,2,0.582742018269352,m2_1
71,-1192.00008946692,2,2,0.743321715562696,m2_1
71,-1192.00008946692,3,2,0.5171326517379,m2_1
71,-1192.00008946692,0,4,0.503187616352871,m2_1
71,-1192.00008946692,1,4,1.2245453258269,m2_1
71,-1192.00008946692,2,4,1.11590183575051,m2_1
71,-1192.00008946692,3,4,0.620236096371625,m2_1
75,-1192.00008946692,0,2,0.294794312846113,m2_1
75,-1192.00008946692,1,2,0.310869375922854,m2_1
75,-1192.00008946692,2,2,0.376199237381577,m2_1
75,-1192.00008946692,3,2,0.75731651002349,m2_1
75,-1192.00008946692,0,4,0.482508866991095,m2_1
75,-1192.00008946692,1,4,0.308176402717287,m2_1
75,-1192.00008946692,2,4,0.459724143510711,m2_1
75,-1192.00008946692,3,4,0.614588831094179,m2_1
83,-1149.71392153156,0,2,0.218122909840086,m2_1
83,-1149.71392153156,1,2,0.041274999747759,m2_1
83,-1149.71392153156,2,2,0.265484658932982,m2_1
83,-1149.71392153156,3,2,0.662445632074709,m2_1
83,-1149.71392153156,0,4,0.0475172950570064,m2_1
83,-1149.71392153156,1,4,0.259535077160322,m2_1
83,-1149.71392153156,2,4,0.062349883970111,m2_1
83,-1149.71392153156,3,4,0.659667173213399,m2_1
84,-1170.85700549924,0,2,0.536743287695086,m2_1
84,-1170.85700549924,1,2,0.483739875585577,m2_1
84,-1170.85700549924,2,2,0.751447035081135,m2_1
84,-1170.85700549924,3,2,0.845960391509607,m2_1
84,-1170.85700549924,0,4,0.641047045413842,m2_1
84,-1170.85700549924,1,4,0.750171670490953,m2_1
84,-1170.85700549924,2,4,0.885587462569653,m2_1
84,-1170.85700549924,3,4,0.781918530158923,m2_1
86,-1149.71392153156,0,2,0.231351314117868,m2_1
86,-1149.71392153156,1,2,0.225352187305512,m2_1
86,-1149.71392153156,2,2,0.396823630616297,m2_1
86,-1149.71392153156,3,2,0.612206417407598,m2_1
86,-1149.71392153156,0,4,0.241179910337712,m2_1
86,-1149.71392153156,1,4,0.220389683807053,m2_1
86,-1149.71392153156,2,4,0.312847609444896,m2_1
86,-1149.71392153156,3,4,0.52861374343866,m2_1
92,-1128.57083756388,0,2,0.509296093945175,m2_1
92,-1128.57083756388,1,2,0.96406309039231,m2_1
92,-1128.57083756388,2,2,1.18533026149116,m2_1
92,-1128.57083756388,3,2,1.68639780996263,m2_1
92,-1128.57083756388,0,4,0.382043778975644,m2_1
92,-1128.57083756388,1,4,1.09981641659482,m2_1
92,-1128.57083756388,2,4,1.60968693104449,m2_1
92,-1128.57083756388,3,4,1.59746006600027,m2_1
93,-1128.57083756388,0,2,0.289755953618566,m2_1
93,-1128.57083756388,1,2,0.814198878350025,m2_1
93,-1128.57083756388,2,2,1.6248692583962,m2_1
93,-1128.57083756388,3,2,1.14638732954499,m2_1
93,-1128.57083756388,0,4,0.18028193994612,m2_1
93,-1128.57083756388,1,4,0.790656773801989,m2_1
93,-1128.57083756388,2,4,1.25844779760739,m2_1
93,-1128.57083756388,3,4,1.04692715209258,m2_1
101,-1065.14158566083,0,2,0.178066246531899,m2_1
101,-1065.14158566083,1,2,0.668834295184475,m2_1
101,-1065.14158566083,2,2,0.962005314382686,m2_1
101,-1065.14158566083,3,2,0.910274600547372,m2_1
101,-1065.14158566083,0,4,0.194718344280409,m2_1
101,-1065.14158566083,1,4,0.455512098980856,m2_1
101,-1065.14158566083,2,4,1.13331102483134,m2_1
101,-1065.14158566083,3,4,0.821470092359328,m2_1
105,-1065.14158566083,0,2,0.28132603155107,m2_1
105,-1065.14158566083,1,2,0.646603196764483,m2_1
105,-1065.14158566083,2,2,0.95701640589761,m2_1
105,-1065.14158566083,3,2,0.925838663889905,m2_1
105,-1065.14158566083,0,4,0.216864234629631,m2_1
105,-1065.14158566083,1,4,0.678995395550114,m2_1
105,-1065.14158566083,2,4,0.813363038328345,m2_1
105,-1065.14158566083,3,4,1.05059622663091,m2_1
107,-1043.99850169314,0,2,0.0607713966296482,m2_1
107,-1043.99850169314,1,2,1.55875810681693,m2_1
107,-1043.99850169314,2,2,0.537861043958823,m2_1
107,-1043.99850169314,3,2,1.10095698259413,m2_1
107,-1043.99850169314,0,4,0.205818618469615,m2_1
107,-1043.99850169314,1,4,1.30956631934241,m2_1
107,-1043.99850169314,2,4,1.29125960015176,m2_1
107,-1043.99850169314,3,4,1.51950602025472,m2_1
110,-1043.99850169314,0,2,0.16865400446371,m2_1
110,-1043.99850169314,1,2,0.764507097741863,m2_1
110,-1043.99850169314,2,2,1.20646958141147,m2_1
110,-1043.99850169314,3,2,1.21667636946139,m2_1
110,-1043.99850169314,0,4,0.123221478602567,m2_1
110,-1043.99850169314,1,4,0.396075400856065,m2_1
110,-1043.99850169314,2,4,1.29504238684848,m2_1
110,-1043.99850169314,3,4,0.929732788016257,m2_1
112,-1022.85541772546,0,2,0.473663325295998,m2_1
112,-1022.85541772546,1,2,0.737554854203808,m2_1
112,-1022.85541772546,2,2,0.753627667442093,m2_1
112,-1022.85541772546,3,2,0.922106755853047,m2_1
112,-1022.85541772546,0,4,0.129711750795791,m2_1
112,-1022.85541772546,1,4,0.401194102911727,m2_1
112,-1022.85541772546,2,4,1.26285221337703,m2_1
112,-1022.85541772546,3,4,1.10039330093667,m2_1
115,-1022.85541772546,0,2,0.0537522878636845,m2_1
115,-1022.85541772546,1,2,0.397370378684076,m2_1
115,-1022.85541772546,2,2,1.58668762076959,m2_1
115,-1022.85541772546,3,2,0.847579969969607,m2_1
115,-1022.85541772546,0,4,0.327972455549052,m2_1
115,-1022.85541772546,1,4,0.43938528728717,m2_1
115,-1022.85541772546,2,4,0.839412167113322,m2_1
115,-1022.85541772546,3,4,1.52170988355816,m2_1
117,-1043.99850169314,0,2,0.155314975640505,m2_1
117,-1043.99850169314,1,2,0.923874914696453,m2_1
117,-1043.99850169314,2,2,0.942393804248205,m2_1
117,-1043.99850169314,3,2,1.28872595660351,m2_1
117,-1043.99850169314,0,4,0.244549333365475,m2_1
117,-1043.99850169314,1,4,1.16012347609749,m2_1
117,-1043.99850169314,2,4,1.11167425822373,m2_1
117,-1043.99850169314,3,4,1.69802490336614,m2_1
118,-1022.85541772546,0,2,0.104393662315617,m2_1
118,-1022.85541772546,1,2,0.489396648203713,m2_1
118,-1022.85541772546,2,2,0.668552384603743,m2_1
118,-1022.85541772546,3,2,0.197729190313847,m2_1
118,-1022.85541772546,0,4,0.1953963722236,m2_1
118,-1022.85541772546,1,4,0.590393820474722,m2_1
118,-1022.85541772546,2,4,0.250852028971497,m2_1
118,-1022.85541772546,3,4,0.396623007929589,m2_1
120,-1043.99850169314,0,2,0.0789753575090759,m2_1
120,-1043.99850169314,1,2,0.923701841818003,m2_1
120,-1043.99850169314,2,2,1.85994957402632,m2_1
120,-1043.99850169314,3,2,1.99286829390017,m2_1
120,-1043.99850169314,0,4,0.066463492310596,m2_1
120,-1043.99850169314,1,4,0.472759803404973,m2_1
120,-1043.99850169314,2,4,1.27016869726546,m2_1
120,-1043.99850169314,3,4,1.77298452337191,m2_1
121,-1043.99850169314,0,2,0.292333091906439,m2_1
